chop onion, chop onion: 0.0
label bottle, label bottle: 0.0
trim tree, trim tree: 0.0
burn tree, burn tree: 0.0
throw football, throw football: 0.0
fry egg, fry egg: 0.0
tear shirt, tear shirt: 0.0
soak hair, soak hair: 0.0
open umbrella, open umbrella: 0.0
crack bottle, crack bottle: 0.0
scratch knee, scratch knee: 0.0
arrange chairs, arrange chairs: 0.0
slice onion, slice onion: 0.0
peel banana, peel banana: 0.0
stain paper, stain paper: 0.0
fry meat, fry meat: 0.0
throw apple, throw apple: 0.0
burn wood, burn wood: 0.0
bite apple, bite apple: 0.0
throw baseball, throw baseball: 0.0
beat eggs, beat eggs: 0.0
cut potato, cut potato: 0.0
peel orange, peel orange: 0.0
fry potato, fry potato: 0.0
carry bag, carry bag: 0.0
pile books, pile books: 0.0
scratch car, scratch car: 0.0
wrap book, wrap book: 0.0
open drawer, open drawer: 0.0
close book, close book: 0.0
squeeze orange, squeeze orange: 0.0
close cabinet, close cabinet: 0.0
break window, break window: 0.0
kick football, kick football: 0.0
soak shirt, soak shirt: 0.0
open cabinet, open cabinet: 0.0
open window, open window: 0.0
hang shirt, hang shirt: 0.0
grate carrot, grate carrot: 0.0
stir coffee, stir coffee: 0.0
crash car, crash car: 0.0
cut meat, cut meat: 0.0
burn paper, burn paper: 0.0
lock door, lock door: 0.0
throw frisbee, throw frisbee: 0.0
chop carrot, chop carrot: 0.0
cook meat, cook meat: 0.0
boil potato, boil potato: 0.0
grate potato, grate potato: 0.0
bend knee, bend knee: 0.0
close door, close door: 0.0
knot rope, knot rope: 0.0
twist hair, twist hair: 0.0
carry umbrella, carry umbrella: 0.0
tie shoe, tie shoe: 0.0
crack egg, crack egg: 0.0
break cup, break cup: 0.0
burn book, burn book: 0.0
open door, open door: 0.0
twist rope, twist rope: 0.0
break egg, break egg: 0.0
stir soup, stir soup: 0.0
cut onion, cut onion: 0.0
tear paper, tear paper: 0.0
boil egg, boil egg: 0.0
spill coffee, spill coffee: 0.0
pile boxes, pile boxes: 0.0
crack window, crack window: 0.0
arrange flowers, arrange flowers: 0.0
break glass, break glass: 0.0
cook egg, cook egg: 0.0
fold paper, fold paper: 0.0
cut apple, cut apple: 0.0
carry book, carry book: 0.0
ride bicycle, ride bicycle: 0.0
peel carrot, peel carrot: 0.0
wrap box, wrap box: 0.0
open box, open box: 0.0
